,index,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,2,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:9a7010e9-46cf-4213-b929-cade0592455f,3,"['52', '56', '294']",5,"['164', '209', '349', '514', '519']",3,"['52', '56', '294']"
1,8,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:5a43a388-e7db-4172-9941-3c8b2890d9bc,0,,5,"['163', '164', '349', '469', '519']",0,
2,10,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:5a43a388-e7db-4172-9941-3c8b2890d9bc,0,,2,"['349', '469']",0,
3,11,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:2a5b1798-dde6-454b-bf38-fd068def5bc7,0,,3,"['164', '349', '519']",0,
4,12,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:2a5b1798-dde6-454b-bf38-fd068def5bc7,0,,10,"['164', '195', '322', '519', '565', '616', '617', '618', '645', '653']",0,
5,14,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""",Yes,1597044274455:a8248408-51d2-4114-99ca-c8d9cfdfd97f,1597044274455:2a5b1798-dde6-454b-bf38-fd068def5bc7,9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']",7,"['259', '349', '469', '584', '621', '622', '623']",9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']"
6,19,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","calledMethod_p == ""push""",Yes,1597044274454:5c0026a7-ec49-4525-9cb7-34b731bb9574,1597044274454:6aab9267-7da0-448f-9fef-9cb160e8174f,9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']",8,"['164', '259', '349', '519', '584', '621', '622', '623']",9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']"
7,20,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597044274454:5c0026a7-ec49-4525-9cb7-34b731bb9574,1597044274454:6aab9267-7da0-448f-9fef-9cb160e8174f,3,"['52', '56', '294']",5,"['164', '209', '349', '514', '519']",3,"['52', '56', '294']"
8,27,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:9d4dcb56-ab60-4230-8df8-4cd98d3b6949,9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']",10,"['163', '164', '259', '349', '469', '519', '584', '621', '622', '623']",9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']"
9,28,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:906ab1c0-dae7-49f6-8e82-1eaef1f2fdff,0,,3,"['164', '349', '519']",0,
10,30,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class java.lang.Short""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,5,"['163', '164', '349', '469', '519']",0,
11,31,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,3,"['164', '349', '519']",0,
12,32,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:5c1f63eb-96d7-4c1e-aafe-5292dbec39a1,0,,10,"['164', '195', '322', '519', '565', '616', '617', '618', '645', '653']",0,
13,35,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:478b4e2f-d31e-41f3-8ba8-405163c63fe1,9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']",10,"['163', '164', '259', '349', '469', '519', '584', '621', '622', '623']",9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']"
14,36,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274454:1a027014-a726-4eb9-a731-50f747e31565,1597044274454:17eb5acd-f0b2-4f32-aead-901550626941,3,"['52', '56', '294']",7,"['163', '164', '209', '349', '469', '514', '519']",3,"['52', '56', '294']"
15,39,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.String""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597044274453:d1488995-62a9-4253-b931-d48ef622d7a9,1597044274453:c3ea4ed4-5993-4345-8ccb-5bf6ab7f002f,3,"['52', '56', '294']",4,"['209', '349', '469', '514']",3,"['52', '56', '294']"
16,43,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274453:183267d2-f4ad-43b6-8d59-e27321fa60c2,1597044274453:c9ace00b-5bce-4544-91fd-2e5d7176e153,3,"['52', '56', '294']",5,"['164', '209', '349', '514', '519']",3,"['52', '56', '294']"
17,46,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597044274452:7475ad97-dea5-453a-a744-d1ebfd20afb2,1597044274453:9e42f0f7-4d6b-4005-861a-d68a6b8bdb30,3,"['52', '56', '294']",4,"['209', '349', '469', '514']",3,"['52', '56', '294']"
18,47,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Double""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274452:7475ad97-dea5-453a-a744-d1ebfd20afb2,1597044274452:90b12418-8548-469b-81b2-c5d790db4a76,3,"['52', '56', '294']",5,"['164', '209', '349', '514', '519']",3,"['52', '56', '294']"
19,48,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597044274452:7475ad97-dea5-453a-a744-d1ebfd20afb2,1597044274452:90b12418-8548-469b-81b2-c5d790db4a76,0,,5,"['163', '164', '349', '469', '519']",0,
20,50,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""",Yes,1597044274452:7475ad97-dea5-453a-a744-d1ebfd20afb2,1597044274452:199c2b47-1ff6-4d10-aad4-59c1b77dd249,0,,2,"['349', '469']",0,
21,52,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274452:38df6050-20bb-4b6b-9a48-f4bb4227bc8e,1597044274452:30961749-9a71-40fa-b41b-631d516c41c7,0,,3,"['164', '349', '519']",0,
22,54,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","pushInput == ""class java.lang.Float""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597044274451:f38f31dc-8862-4bad-9eb4-fa9179a7f4a7,1597044274451:7d9f9402-31dc-431d-949e-5bac8c792167,9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']",8,"['164', '259', '349', '519', '584', '621', '622', '623']",9,"['54', '55', '57', '238', '239', '293', '295', '357', '603']"
23,55,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274451:f38f31dc-8862-4bad-9eb4-fa9179a7f4a7,1597044274451:7d9f9402-31dc-431d-949e-5bac8c792167,3,"['52', '56', '294']",5,"['164', '209', '349', '514', '519']",3,"['52', '56', '294']"
24,56,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274451:f38f31dc-8862-4bad-9eb4-fa9179a7f4a7,1597044274451:7d9f9402-31dc-431d-949e-5bac8c792167,0,,10,"['164', '195', '322', '519', '565', '616', '617', '618', '645', '653']",0,
25,57,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""pop""",Yes,1597044274451:f38f31dc-8862-4bad-9eb4-fa9179a7f4a7,1597044274451:7d9f9402-31dc-431d-949e-5bac8c792167,3,"['52', '56', '294']",3,"['209', '349', '514']",3,"['52', '56', '294']"
